original_title,popularity,runtime,averageRating,release_year,release_month,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_user_for_reviews,movie_facebook_likes,Genre_first_values,budget_adjusted
First Blood,14.778884,93.0,7.7,1982.0,10.0,145.0,270.0,13000.0,954.0,535.0,376.0,0,Action,56491384.49514561
First Blood,14.778884,93.0,7.7,1982.0,10.0,145.0,270.0,13000.0,954.0,535.0,376.0,0,Action,56491384.49514561
First Blood,14.778884,93.0,7.7,1982.0,10.0,145.0,270.0,13000.0,954.0,535.0,376.0,0,Action,56491384.49514561
Licence to Kill,11.137888,133.0,6.7,1989.0,7.0,117.0,46.0,683.0,349.0,275.0,317.0,0,Adventure,75978822.72915071
Pride and Glory,5.844016,130.0,6.6,2008.0,9.0,154.0,149.0,1000.0,807.0,798.0,132.0,0,Thriller,43240364.58062828
Click,9.796552,107.0,6.4,2006.0,6.0,173.0,153.0,11000.0,1000.0,233.0,685.0,7000,Comedy,126993527.78571434
WALL·E,16.088366,98.0,8.4,2008.0,6.0,421.0,475.0,1000.0,729.0,522.0,1043.0,16000,Animation,218647217.2589051
What to Expect When You're Expecting,7.271503,110.0,5.7,2012.0,5.0,170.0,52.0,10000.0,2000.0,651.0,89.0,14000,Romance,54065176.919231415
Life During Wartime,3.311392,97.0,6.4,2009.0,10.0,159.0,377.0,1000.0,887.0,844.0,37.0,0,Comedy,6509213.863049265
The Sentinel,12.915358,108.0,6.1,2006.0,4.0,161.0,69.0,310.0,219.0,206.0,213.0,690,Action,92358929.57142854
Ready to Rumble,3.69298,107.0,5.4,2000.0,4.0,51.0,48.0,1000.0,957.0,940.0,101.0,650,Action,43251011.45296161
Charlotte's Web,10.254314,97.0,6.3,2006.0,12.0,120.0,56.0,12000.0,8000.0,852.0,102.0,0,Comedy,130841816.47619155
Free Birds,7.713231,91.0,5.8,2013.0,10.0,118.0,39.0,1000.0,591.0,562.0,73.0,0,Animation,73266440.72922042
The Simpsons Movie,14.302911,87.0,7.3,2007.0,7.0,299.0,30.0,745.0,440.0,433.0,763.0,0,Animation,112251498.52582677
Captive,5.396271,97.0,5.4,2015.0,9.0,39.0,5.0,1000.0,426.0,349.0,22.0,0,Crime,2618597.9782758215
Hidalgo,8.140709,136.0,6.7,2004.0,3.0,140.0,394.0,24000.0,10000.0,1000.0,345.0,0,Western,158897082.41321066
Jaws,19.726114,124.0,8.1,1975.0,6.0,385.0,14000.0,813.0,559.0,366.0,962.0,21000,Horror,40376989.847583644
The Iceman,13.132127,105.0,6.8,2012.0,9.0,221.0,34.0,11000.0,11000.0,683.0,144.0,20000,Thriller,27032588.95961568
Identity Thief,7.321172,111.0,5.7,2013.0,2.0,275.0,91.0,4000.0,904.0,680.0,232.0,17000,Comedy,46624099.00950391
Stripes,11.341505,106.0,6.8,1981.0,6.0,52.0,425.0,13000.0,11000.0,901.0,134.0,0,Action,37660923.33009712
Riding Giants,2.203949,105.0,7.8,2004.0,7.0,74.0,147.0,52.0,52.0,28.0,37.0,0,Documentary,4131325.11674347
南京!南京!,7.216103,132.0,7.7,2009.0,4.0,149.0,14.0,52.0,32.0,3.0,62.0,0,Drama,17357901.968131404
Drive Angry,7.668829,105.0,5.4,2011.0,2.0,296.0,71.0,12000.0,2000.0,982.0,211.0,15000,Fantasy,68980035.58715484
An Education,8.593196,100.0,7.2,2009.0,10.0,278.0,92.0,3000.0,766.0,221.0,237.0,12000,Drama,10848689.105082117
The Wild Bunch,11.722424,145.0,7.9,2069.0,6.0,147.0,541.0,682.0,288.0,242.0,287.0,0,Adventure,6244088.000000003
Jefferson in Paris,1.596058,139.0,5.7,1995.0,3.0,20.0,133.0,423.0,15.0,5.0,27.0,127,Drama,28507638.795275558
Around the World in 80 Days,7.825072,120.0,5.9,2004.0,6.0,188.0,153.0,1000.0,1000.0,447.0,191.0,0,Action,174786790.55453125
Around the World in 80 Days,7.825072,120.0,5.9,2004.0,6.0,188.0,153.0,1000.0,1000.0,447.0,191.0,0,Action,174786790.55453125
Around the World in 80 Days,7.825072,120.0,5.9,2004.0,6.0,188.0,153.0,1000.0,1000.0,447.0,191.0,0,Action,174786790.55453125
Around the World in 80 Days,7.825072,120.0,5.9,2004.0,6.0,188.0,153.0,1000.0,1000.0,447.0,191.0,0,Action,174786790.55453125
Ruby in Paradise,0.941994,114.0,6.9,1993.0,10.0,11.0,9.0,159.0,143.0,86.0,28.0,81,Drama,1629008.8740157473
Ghost,11.945397,127.0,7.1,1990.0,7.0,77.0,109.0,2000.0,956.0,71.0,252.0,0,Fantasy,52235440.9387912
Drumline,5.270187,118.0,6.0,2002.0,12.0,64.0,30.0,962.0,593.0,284.0,185.0,2000,Drama,36042509.71080134
Legends of Oz: Dorothy's Return,6.660309,88.0,4.9,2013.0,6.0,51.0,6.0,2000.0,1000.0,854.0,54.0,5000,Animation,93248197.0190079
Home for the Holidays,8.416802,103.0,6.6,1995.0,11.0,45.0,0.0,21000.0,1000.0,801.0,76.0,0,Comedy,32580158.480314992
Sex Drive,9.106146,109.0,6.5,2008.0,10.0,102.0,51.0,948.0,822.0,630.0,103.0,0,Comedy,27385564.601064533
The Mask,14.13488,101.0,7.0,1994.0,7.0,57.0,55.0,789.0,424.0,360.0,213.0,0,Romance,46833977.37795277
Der Untergang,7.69224,156.0,8.2,2004.0,9.0,192.0,101.0,918.0,653.0,471.0,564.0,14000,Drama,29141328.488479286
Swordfish,9.646208,99.0,6.5,2001.0,6.0,166.0,57.0,20000.0,3000.0,820.0,543.0,0,Action,183816795.42508852
Cutthroat Island,7.284477,119.0,5.7,1995.0,12.0,61.0,212.0,1000.0,903.0,810.0,169.0,1000,Action,199553465.566929
Club Dread,6.57613,104.0,5.7,2004.0,2.0,66.0,422.0,861.0,499.0,422.0,201.0,713,Comedy,13506252.9201229
Bad Words,5.847166,88.0,6.6,2013.0,9.0,126.0,0.0,628.0,497.0,322.0,119.0,0,Comedy,12655113.316865323
Everest,10.758754,121.0,7.1,2015.0,9.0,361.0,175.0,963.0,580.0,221.0,265.0,40000,Adventure,72011417.90258494
Love Me Tender,1.157582,89.0,6.2,2056.0,11.0,39.0,0.0,356.0,110.0,102.0,36.0,365,Drama,1000000.9999999997
25th Hour,10.271871,135.0,7.6,2002.0,12.0,202.0,0.0,22000.0,3000.0,346.0,454.0,0,Crime,27031882.533101045
Into the Wild,15.423538,148.0,8.0,2007.0,9.0,274.0,0.0,17000.0,882.0,826.0,760.0,76000,Adventure,22450300.5051654
Clerks,10.513367,92.0,7.7,1994.0,9.0,136.0,0.0,898.0,657.0,216.0,615.0,0,Comedy,54980.015748031365
Stormbreaker,8.778999,93.0,5.1,2006.0,7.0,66.0,13.0,15000.0,460.0,173.0,187.0,823,Adventure,61572620.04761901
Diary of a Wimpy Kid: Rodrick Rules,8.425361,99.0,6.6,2011.0,3.0,103.0,42.0,975.0,569.0,557.0,45.0,0,Family,28971615.526605006
Talladega Nights: The Ballad of Ricky Bobby,6.936688,116.0,6.6,2006.0,8.0,164.0,285.0,8000.0,1000.0,989.0,437.0,0,Comedy,111600373.02380952
Marmaduke,12.285545,87.0,4.3,2010.0,6.0,98.0,9.0,15000.0,2000.0,1000.0,65.0,0,Family,71157410.10591787
You've Got Mail,10.237996,119.0,6.7,1998.0,12.0,153.0,0.0,15000.0,793.0,744.0,556.0,0,Comedy,117138154.31010474
Six Days Seven Nights,18.324219,98.0,5.9,1998.0,6.0,97.0,425.0,11000.0,643.0,397.0,164.0,0,Action,126148781.48780474
Collateral,13.455112,120.0,7.5,2004.0,8.0,299.0,0.0,10000.0,851.0,680.0,836.0,0,Drama,103283103.91858633
Bats,2.584025,91.0,4.1,1999.0,10.0,97.0,38.0,730.0,461.0,91.0,160.0,342,Horror,28834007.968641106
The Cabin in the Woods,14.811958,95.0,7.0,2012.0,4.0,634.0,246.0,26000.0,821.0,751.0,986.0,66000,Horror,40548882.93942356
Living Out Loud,1.575026,100.0,6.5,1998.0,10.0,24.0,98.0,1000.0,849.0,604.0,88.0,242,Comedy,21625506.226480868
End of Watch,7.45279,109.0,7.6,2012.0,9.0,355.0,453.0,15000.0,10000.0,953.0,336.0,38000,Crime,9461406.785865484
Four Weddings and a Funeral,8.990345,117.0,7.1,1994.0,3.0,84.0,179.0,1000.0,398.0,239.0,197.0,0,Comedy,12217560.055118127
Unbroken,10.543955,137.0,7.2,2014.0,12.0,322.0,11000.0,769.0,698.0,465.0,351.0,35000,Drama,85205419.69424161
Unbroken,10.543955,137.0,7.2,2014.0,12.0,322.0,11000.0,769.0,698.0,465.0,351.0,35000,Drama,85205419.69424161
Unbroken,10.543955,137.0,7.2,2014.0,12.0,322.0,11000.0,769.0,698.0,465.0,351.0,35000,Drama,85205419.69424161
Unbroken,10.543955,137.0,7.2,2014.0,12.0,322.0,11000.0,769.0,698.0,465.0,351.0,35000,Drama,85205419.69424161
The Hunger Games: Mockingjay - Part 2,26.628178,137.0,6.6,2015.0,11.0,389.0,508.0,34000.0,22000.0,14000.0,383.0,38000,Action,198616140.77980995
Dragonfly,4.924078,104.0,6.1,2002.0,2.0,117.0,293.0,780.0,265.0,256.0,243.0,0,Drama,108127527.13240407
Cradle 2 the Grave,8.364587,101.0,5.8,2003.0,2.0,109.0,43.0,5000.0,618.0,432.0,185.0,1000,Action,39724271.3533026
Tremors,15.750026,96.0,7.2,1990.0,1.0,132.0,31.0,651.0,610.0,536.0,248.0,11000,Action,26117720.96939561
Romance & Cigarettes,2.36594,105.0,6.2,2005.0,9.0,87.0,0.0,14000.0,12000.0,776.0,69.0,0,Comedy,25423534.02611369
Gangs of New York,14.922399,167.0,7.5,2002.0,12.0,233.0,17000.0,29000.0,14000.0,1000.0,1166.0,0,Drama,180212544.5540067
Where the Wild Things Are,12.36223,101.0,6.7,2009.0,10.0,333.0,0.0,925.0,468.0,279.0,388.0,11000,Family,144649175.73442835
Mr. 3000,4.902869,104.0,5.6,2004.0,6.0,63.0,30.0,1000.0,962.0,635.0,63.0,491,Comedy,47669125.42396312
Freaky Friday,7.867999,97.0,6.3,2003.0,8.0,129.0,70.0,2000.0,528.0,512.0,271.0,0,Comedy,41313242.16743477
Chloe,10.445867,96.0,6.3,2009.0,3.0,226.0,460.0,14000.0,153.0,73.0,166.0,0,Drama,21697377.210164253
The Cookout,1.758079,97.0,3.8,2004.0,9.0,21.0,3.0,1000.0,584.0,578.0,20.0,177,Comedy,25423534.02611369
Changeling,11.672394,141.0,7.7,2008.0,1.0,264.0,16000.0,11000.0,963.0,539.0,387.0,14000,Crime,79274000.89781839
The Pirates! In an Adventure with Scientists!,10.271517,88.0,6.7,2012.0,3.0,238.0,91.0,4000.0,796.0,591.0,101.0,0,Animation,81097764.87884714
Elysium,15.232738,109.0,6.6,2013.0,8.0,476.0,662.0,13000.0,2000.0,1000.0,814.0,61000,Science Fiction,153193465.8883692
Witness,10.312017,113.0,7.4,1985.0,2.0,83.0,608.0,11000.0,10000.0,733.0,175.0,0,Crime,34608848.583643146
Mirror Mirror,14.170183,106.0,5.6,2012.0,3.0,382.0,763.0,8000.0,886.0,809.0,208.0,18000,Adventure,114888499.82836679
The Revenant,23.501228,156.0,8.0,2015.0,12.0,556.0,0.0,29000.0,27000.0,733.0,1188.0,190000,Western,176755297.033618
Payback,9.112008,100.0,7.1,1999.0,2.0,143.0,241.0,1000.0,495.0,416.0,394.0,0,Drama,162191290.1986062
Doctor Dolittle,9.439079,85.0,5.4,1998.0,6.0,73.0,84.0,1000.0,1000.0,595.0,98.0,694,Comedy,127950906.92334507
The First Wives Club,10.177303,102.0,6.5,1996.0,9.0,50.0,37.0,944.0,893.0,452.0,117.0,0,Comedy,52942756.90551178
Colombiana,8.062578,108.0,6.4,2011.0,7.0,201.0,118.0,877.0,738.0,674.0,203.0,15000,Action,55184028.66972372
Country Strong,4.582024,117.0,6.3,2010.0,12.0,135.0,19.0,3000.0,646.0,461.0,114.0,0,Drama,21347223.731775355
Happy Feet,15.088318,108.0,6.4,2006.0,11.0,206.0,750.0,49000.0,20000.0,971.0,548.0,0,Animation,153931548.6190474
十月圍城,10.861339,139.0,6.8,2009.0,12.0,55.0,3.0,556.0,155.0,107.0,33.0,765,Drama,33269311.188918404
Million Dollar Arm,9.453942,124.0,7.0,2014.0,5.0,151.0,44.0,4000.0,774.0,367.0,96.0,10000,Drama,32771315.882400632
Now You See Me,17.852022,115.0,7.2,2013.0,5.0,384.0,255.0,11000.0,988.0,963.0,629.0,105000,Thriller,99908782.44893746
Goal!: The Dream Begins,9.783762,118.0,6.7,2005.0,6.0,90.0,41.0,722.0,580.0,577.0,114.0,0,Drama,47669125.42396312
The Molly Maguires,2.27258,124.0,6.8,2070.0,1.0,13.0,58.0,338.0,275.0,104.0,36.0,608,Drama,11000001.000000013
Kiss the Girls,12.235391,115.0,6.6,1997.0,10.0,83.0,39.0,11000.0,956.0,685.0,143.0,0,Drama,54979016.74803154
Jack Ryan: Shadow Recruit,11.234862,105.0,6.2,2014.0,1.0,313.0,0.0,539.0,394.0,288.0,289.0,17000,Action,78651156.71776147
Diamonds Are Forever,12.00491,120.0,6.5,2071.0,12.0,120.0,82.0,244.0,177.0,175.0,276.0,0,Adventure,7200000.9999999935
The Wash,2.483032,93.0,4.8,2001.0,11.0,27.0,69.0,522.0,231.0,69.0,38.0,842,Action,12614879.048780493
