tconst,writer_id,writer_experience,writer_quality,target_rating
tt11932678,nm1979899,1,5.199999809265137,5.2
tt11933770,nm10196148,3,8.366666475931803,7.8
tt11934038,nm0874265,1,6.400000095367432,6.4
tt11934504,nm6653843,2,6.200000047683716,6.9
tt11934564,nm2542579,1,5.400000095367432,5.4
tt11934846,nm2862844,1,7.0,7.0
tt11935094,nm2337963,1,7.199999809265137,7.2
tt11935566,nm0792526,1,6.800000190734863,6.8
tt11936300,nm1753595,1,5.900000095367432,5.9
tt11936366,nm2703622,3,4.8666666348775225,5.9
tt11936544,nm8662914,2,6.6000001430511475,6.8
tt11936782,nm12362790,2,6.0,5.2
tt11937680,nm2159321,2,7.200000047683716,7.8
tt11938416,nm6057982,1,5.699999809265137,5.7
tt11938628,nm0300670,3,6.699999968210856,7.1
tt11938888,nm1659906,1,6.400000095367432,6.4
tt11939544,nm1938738,1,6.400000095367432,6.4
tt11939664,nm1964037,3,5.900000095367432,5.6
tt11939970,nm10918075,2,3.5500000715255737,2.3
tt11940240,nm1758536,2,5.800000190734863,6.8
tt11940818,nm11410669,1,7.599999904632568,7.6
tt11940982,nm7260918,1,6.0,6.0
tt11941042,nm0508659,1,7.699999809265137,7.7
tt11941288,nm11411036,1,6.400000095367432,6.4
tt11941694,nm4200653,1,7.300000190734863,7.3
tt11941700,nm12947851,1,7.599999904632568,7.6
tt11941800,nm3524943,5,7.0600001335144045,6.8
tt11942098,nm4636486,3,6.700000127156575,6.4
tt11942126,nm7877993,1,8.199999809265137,8.2
tt11943698,nm4793079,1,4.300000190734863,4.3
tt11944684,nm9227350,4,5.024999976158142,5.3
tt11944928,nm3241039,3,4.733333428700765,5.0
tt11945060,nm1334993,1,7.5,7.5
tt11946138,nm2027655,2,7.300000190734863,7.3
tt11946298,nm5097196,1,4.0,4.0
tt11946304,nm7433520,1,7.400000095367432,7.4
tt11946452,nm6222484,3,6.733333269755046,6.7
tt11947078,nm9973563,1,8.5,8.5
tt11947100,nm11413821,1,5.800000190734863,5.8
tt11947158,nm2748159,10,6.159999990463257,4.4
tt11947216,nm4851653,1,6.099999904632568,6.1
tt11947256,nm5056902,4,7.350000023841858,7.1
tt11947446,nm10879582,2,7.650000095367432,8.0
tt11948256,nm11414458,1,6.5,6.5
tt11948716,nm6051389,1,4.400000095367432,4.4
tt11948754,nm0850720,1,8.600000381469727,8.6
tt11950404,nm3296451,1,6.900000095367432,6.9
tt11950836,nm4727866,2,6.549999952316284,6.0
tt11950888,nm1107925,2,5.200000047683716,5.3
tt11951090,nm6604870,1,6.800000190734863,6.8
tt11951276,nm0845860,1,5.900000095367432,5.9
tt11951330,nm8607495,2,6.25,6.9
tt11951334,nm1986735,1,6.900000095367432,6.9
tt11951482,nm2158274,1,8.899999618530273,8.9
tt11951814,nm8294377,1,6.5,6.5
tt11951960,nm10165012,4,4.125,4.4
tt11952068,nm11415634,1,8.600000381469727,8.6
tt11952084,nm1397787,1,5.300000190734863,5.3
tt11952238,nm4548115,4,6.074999928474426,6.7
tt11952606,nm3334252,1,5.300000190734863,5.3
tt11952626,nm11416025,1,4.699999809265137,4.7
tt11952710,nm6630098,1,7.5,7.5
tt11952722,nm0148304,1,4.199999809265137,4.2
tt11952760,nm9489622,10,5.999999928474426,3.2
tt11952776,nm8696376,1,7.599999904632568,7.6
tt11952822,nm6484261,7,9.05714293888637,9.1
tt11952832,nm10568967,1,3.799999952316284,3.8
tt11952874,nm1511627,2,4.75,3.9
tt11952964,nm6369175,4,6.224999904632568,5.2
tt11953032,nm6292772,7,5.714285680225918,5.4
tt11953038,nm7767925,2,6.299999952316284,5.9
tt11953194,nm4157919,5,5.780000019073486,6.3
tt11953228,nm8337755,1,5.199999809265137,5.2
tt11953248,nm8833077,4,7.424999952316284,8.2
tt11953368,nm4500258,26,3.0807692271012526,2.2
tt11953628,nm4082640,1,5.900000095367432,5.9
tt11954824,nm5234943,2,6.0,6.0
tt11956066,nm2876079,2,6.849999904632568,6.6
tt11956314,nm6428180,2,7.299999952316284,6.7
tt11957206,nm4512241,2,2.899999976158142,2.8
tt11957322,nm4568462,1,5.5,5.5
tt11957450,nm3534604,1,5.599999904632568,5.6
tt11957526,nm0516108,1,7.5,7.5
tt11958344,nm2584046,3,6.399999936421712,6.7
tt11958732,nm4396169,1,6.199999809265137,6.2
tt11958790,nm1516376,1,7.199999809265137,7.2
tt11959018,nm2329727,9,4.02222220102946,3.6
tt11959452,nm10187639,1,2.799999952316284,2.8
tt11960068,nm1622132,1,7.800000190734863,7.8
tt11960430,nm2411010,7,5.985714265278408,6.1
tt11960634,nm3179723,1,9.100000381469727,9.1
tt11960672,nm2411010,7,5.985714265278408,6.8
tt11962012,nm8315359,6,4.083333333333333,3.2
tt11962042,nm5679704,2,6.6499998569488525,8.7
tt11963006,nm1902686,1,6.800000190734863,6.8
tt11963556,nm9845146,2,9.25,9.3
tt11963622,nm5078136,1,7.099999904632568,7.1
tt11963636,nm11420649,2,6.6000001430511475,7.3
tt11963736,nm3413965,1,7.400000095367432,7.4
tt11963752,nm11420721,1,8.100000381469727,8.1
tt11964084,nm3205822,1,2.5,2.5
tt11965610,nm6023975,7,4.057142870766776,4.3
tt11966138,nm0356968,2,5.6499998569488525,5.1
tt11967116,nm2716464,1,6.599999904632568,6.6
tt11967404,nm1384445,2,4.5,4.4
tt11967484,nm4612196,1,6.0,6.0
tt11967750,nm6634376,1,7.699999809265137,7.7
tt11968092,nm7919191,7,6.657142911638532,6.4
tt11968730,nm11428018,1,5.800000190734863,5.8
tt11969576,nm5463358,2,5.599999904632568,5.0
tt11970970,nm8460748,2,4.449999928474426,6.7
tt11971932,nm3456466,3,2.7666666507720947,2.1
tt11972952,nm11040850,3,8.96666685740153,8.7
tt11973834,nm11423950,1,8.0,8.0
tt11974512,nm5716327,1,7.599999904632568,7.6
tt11976108,nm8083212,1,9.0,9.0
tt11976134,nm7903884,1,4.699999809265137,4.7
tt11976170,nm11424980,1,6.199999809265137,6.2
tt11976532,nm1145983,1,6.800000190734863,6.8
tt11980980,nm8171390,1,6.599999904632568,6.6
tt11980998,nm1280571,1,4.800000190734863,4.8
tt11981274,nm2329727,9,4.02222220102946,2.6
tt11981364,nm11701794,1,7.0,7.0
tt11981382,nm8343989,1,3.4000000953674316,3.4
tt11981880,nm2911203,5,6.159999942779541,5.6
tt11983318,nm3848412,19,3.6315789724651135,4.8
tt11983366,nm0498080,15,5.059999974568685,4.8
tt11984548,nm5873168,1,7.599999904632568,7.6
tt11985236,nm6624723,4,5.399999976158142,6.8
tt11985484,nm9967372,1,6.400000095367432,6.4
tt11985684,nm7199982,1,5.199999809265137,5.2
tt11985912,nm11428783,1,8.100000381469727,8.1
tt11987082,nm12284821,1,5.699999809265137,5.7
tt11987258,nm11429657,1,5.699999809265137,5.7
tt11988512,nm3883445,1,5.599999904632568,5.6
tt11989026,nm11430409,1,7.599999904632568,7.6
tt11989466,nm9306401,1,5.400000095367432,5.4
tt11990446,nm11692291,1,7.900000095367432,7.9
tt11990460,nm4589083,3,3.0666666825612388,2.0
tt11990464,nm4120466,1,9.699999809265137,9.7
tt11990802,nm11011122,29,7.003448305458858,5.5
tt11990980,nm13197290,1,5.800000190734863,5.8
tt11991076,nm1473176,1,9.899999618530273,9.9
tt11991132,nm11431401,1,7.400000095367432,7.4
tt11991446,nm4763540,1,3.5999999046325684,3.6
tt11991532,nm10052797,2,5.900000095367432,5.8
tt11991578,nm0049494,1,6.199999809265137,6.2
tt11991676,nm5758702,1,3.5999999046325684,3.6
tt11991748,nm3311094,2,7.299999952316284,7.4
tt11991786,nm1747867,1,6.400000095367432,6.4
tt11991946,nm7880568,1,6.800000190734863,6.8
tt11992106,nm6827694,1,5.300000190734863,5.3
tt11992366,nm4302531,6,5.833333373069763,6.8
tt11992424,nm15216018,2,8.099999904632568,8.2
tt11992694,nm1001232,2,6.200000047683716,6.5
tt11992904,nm4668609,1,5.099999904632568,5.1
tt11993020,nm12904446,1,9.100000381469727,9.1
tt11994750,nm0393500,1,7.0,7.0
tt11995196,nm0050378,1,6.599999904632568,6.6
tt11995784,nm2329727,9,4.02222220102946,2.4
tt11995882,nm11811079,1,5.599999904632568,5.6
tt11996308,nm4304089,1,7.099999904632568,7.1
tt11996462,nm11433570,1,5.900000095367432,5.9
tt11996588,nm2290469,3,6.666666507720947,7.2
tt11997258,nm7159655,3,5.900000095367432,6.0
tt11998558,nm1805430,2,6.0,5.9
tt11999602,nm6678180,2,6.349999904632568,6.2
tt11999966,nm5378650,2,5.849999904632568,6.0
tt12000340,nm2613463,1,4.699999809265137,4.7
tt12000428,nm0896459,1,5.300000190734863,5.3
tt12001718,nm11435540,1,8.199999809265137,8.2
tt12002148,nm7516394,1,4.800000190734863,4.8
tt1200263,nm0635568,1,6.800000190734863,6.8
tt12002786,nm0875212,2,5.799999952316284,5.2
tt12003034,nm8507712,1,8.0,8.0
tt12003124,nm3257927,2,3.6000001430511475,4.8
tt12003276,nm2136602,1,7.300000190734863,7.3
tt12003826,nm3102672,1,6.199999809265137,6.2
tt12003946,nm1351254,4,6.649999976158142,6.7
tt12004038,nm3013234,2,5.900000095367432,6.3
tt12004238,nm4469602,1,6.199999809265137,6.2
tt12004426,nm1280031,1,6.300000190734863,6.3
tt12004504,nm5559211,2,7.599999904632568,7.0
tt12007466,nm0674105,1,8.100000381469727,8.1
tt12007484,nm2195555,5,6.820000076293946,6.7
tt12007602,nm9385280,1,8.199999809265137,8.2
tt12008056,nm1519362,2,6.799999952316284,6.9
tt12008636,nm3430436,1,7.400000095367432,7.4
tt12008892,nm1827610,6,5.200000007947286,4.7
tt12008944,nm7458784,2,5.849999904632568,5.5
tt12009240,nm6303708,1,6.300000190734863,6.3
tt12010212,nm5691723,1,7.0,7.0
tt12010446,nm4252338,2,3.950000047683716,3.4
tt12011442,nm11206986,1,6.699999809265137,6.7
tt12012266,nm11439975,1,4.300000190734863,4.3
tt12013758,nm2281806,1,5.800000190734863,5.8
tt12013774,nm6979353,13,5.530769238105187,8.2
tt12013784,nm4803110,2,3.299999952316284,4.0
tt12014644,nm2324123,5,5.400000095367432,6.4
tt12015102,nm8048359,2,6.799999952316284,6.9
tt12015352,nm7846447,1,4.599999904632568,4.6
tt12015542,nm6740856,2,6.6000001430511475,6.4
tt12015590,nm6740856,2,6.6000001430511475,6.8
tt12015668,nm4122269,1,6.400000095367432,6.4
tt12015692,nm0300944,2,6.849999904632568,7.1
tt12015748,nm8734809,1,7.900000095367432,7.9
tt12015752,nm1146154,1,7.400000095367432,7.4
tt12016374,nm9094906,1,5.599999904632568,5.6
tt12016852,nm4741095,1,8.0,8.0
tt12016954,nm0802555,1,7.900000095367432,7.9
tt12017084,nm3236441,1,8.800000190734863,8.8
tt12017738,nm13962208,1,7.300000190734863,7.3
tt12017948,nm1192521,3,7.066666762034099,7.3
tt12019088,nm9421905,1,2.700000047683716,2.7
tt12019512,nm1936701,2,7.3500001430511475,6.8
tt12019660,nm11442870,3,6.200000127156575,8.8
tt12020498,nm4452025,1,6.599999904632568,6.6
tt12020676,nm0885885,1,5.800000190734863,5.8
tt12020894,nm11443484,1,6.400000095367432,6.4
tt12021096,nm5676754,2,7.999999761581421,6.6
tt12021418,nm11443878,1,5.0,5.0
tt12021598,nm5954636,31,8.141935479256414,8.0
tt12021666,nm0749303,2,5.25,5.3
tt12022192,nm2289236,3,7.800000190734863,7.5
tt3301314,nm6055387,1,6.0,6.0
tt33014074,nm6209132,1,6.900000095367432,6.9
tt33014251,nm1069957,1,2.4000000953674316,2.4
tt33014444,nm16365812,1,7.699999809265137,7.7
tt33014770,nm0211110,1,4.099999904632568,4.1
tt33014921,nm16366415,2,7.150000095367432,8.5
tt33014960,nm3275674,6,6.550000031789144,6.3
tt33014966,nm7604601,2,6.599999904632568,6.2
tt33015009,nm11793830,1,5.300000190734863,5.3
tt33015160,nm8321234,1,6.699999809265137,6.7
tt33015212,nm6743519,2,6.6000001430511475,7.4
tt33015621,nm11096448,4,6.3500001430511475,5.0
tt33015743,nm16367347,1,7.5,7.5
tt33021968,nm11200926,3,8.5,9.2
tt33022318,nm0636618,1,7.5,7.5
tt33022319,nm4859929,1,5.5,5.5
tt33022320,nm11042781,1,7.099999904632568,7.1
tt33022333,nm9041486,2,7.099999904632568,7.6
tt33022345,nm12036259,2,8.050000190734863,8.3
tt33022346,nm16368579,1,9.300000190734863,9.3
tt33022354,nm16368625,1,5.099999904632568,5.1
tt33022374,nm9873466,3,4.899999936421712,5.1
tt33022385,nm16750024,2,7.900000095367432,7.7
tt33022424,nm16368761,1,7.5,7.5
tt33022488,nm6754740,3,5.733333269755046,7.6
tt33022555,nm8166889,9,6.277777777777778,5.2
tt33022813,nm17219966,1,7.400000095367432,7.4
tt33023576,nm8587153,1,7.599999904632568,7.6
tt33029140,nm14923352,1,9.5,9.5
tt33029169,nm12637218,1,9.800000190734863,9.8
tt33029251,nm1132407,3,5.8666666348775225,6.2
tt33029349,nm2899704,5,5.12000002861023,5.6
tt33029373,nm1504063,3,7.266666571299235,7.5
tt33029375,nm1504063,3,7.266666571299235,7.2
tt33029543,nm0067126,3,6.833333492279053,7.3
tt33029561,nm11128578,1,7.400000095367432,7.4
tt33029833,nm0042814,2,6.299999952316284,6.2
tt33029845,nm1465431,4,6.899999976158142,7.2
tt33029851,nm15014016,1,8.399999618530273,8.4
tt33029866,nm0001429,4,6.549999952316284,6.1
tt33029871,nm0005101,2,5.099999904632568,4.6
tt33029928,nm0321159,2,5.0,5.1
tt33029934,nm3115007,1,7.300000190734863,7.3
tt33029968,nm16418254,1,6.599999904632568,6.6
tt33029977,nm0880297,1,7.0,7.0
tt33029982,nm6339927,1,7.5,7.5
tt33030017,nm3685846,1,5.900000095367432,5.9
tt33030054,nm10802484,2,5.549999952316284,5.9
tt33030072,nm12195830,2,6.650000095367432,7.3
tt33030107,nm1912503,1,7.0,7.0
tt33030125,nm10008676,1,8.300000190734863,8.3
tt33030140,nm2113581,2,6.6499998569488525,7.6
tt33030164,nm3408718,1,7.199999809265137,7.2
tt33030166,nm9824985,3,7.0,7.2
tt33030186,nm2410261,1,6.300000190734863,6.3
tt33030245,nm6429011,1,6.800000190734863,6.8
tt33030320,nm3189793,1,6.599999904632568,6.6
tt33030347,nm16372661,1,6.699999809265137,6.7
tt33030357,nm0449272,2,6.75,6.6
tt33030375,nm5194862,1,8.199999809265137,8.2
tt33030379,nm3582843,1,6.300000190734863,6.3
tt33030403,nm1077445,4,6.150000095367432,7.3
tt33030448,nm2122369,1,7.199999809265137,7.2
tt33030449,nm16471451,1,7.099999904632568,7.1
tt33030466,nm3409725,2,5.5,7.4
tt33030472,nm0599291,1,7.400000095367432,7.4
tt33030499,nm6096597,2,7.450000047683716,7.8
tt33030573,nm2483722,13,3.2384615402955275,4.2
tt33030582,nm3545506,1,2.4000000953674316,2.4
tt33034002,nm16360031,1,1.899999976158142,1.9
tt33034049,nm11516495,2,4.9999998807907104,2.8
tt33034103,nm9503133,1,6.699999809265137,6.7
tt33034308,nm16373908,1,5.699999809265137,5.7
tt33034326,nm6033367,9,4.0333333015441895,7.4
tt33034505,nm16374012,1,5.5,5.5
tt33034699,nm14080063,1,5.5,5.5
tt33034727,nm10043048,2,8.350000381469727,8.1
tt33034788,nm14575205,2,8.050000190734863,8.0
tt33034854,nm9770726,1,3.0,3.0
tt33035197,nm1958198,1,8.5,8.5
tt33035211,nm1287835,1,4.800000190734863,4.8
tt33035217,nm16375250,1,7.099999904632568,7.1
tt33035283,nm6560608,1,6.599999904632568,6.6
tt33035303,nm2225988,1,4.900000095367432,4.9
tt33035315,nm5451680,1,6.5,6.5
tt33035860,nm2482117,1,6.900000095367432,6.9
tt33036017,nm0543678,1,7.5,7.5
tt33037664,nm10622857,3,9.5,9.3
tt33037725,nm6011478,1,5.900000095367432,5.9
tt33037893,nm6788939,2,7.5,7.9
tt33037909,nm15433145,1,7.800000190734863,7.8
tt33037915,nm11243895,3,5.699999968210856,5.4
tt33038186,nm10765026,2,7.5,7.8
tt33038248,nm6907262,2,8.950000286102295,8.1
tt33038530,nm2278712,2,7.099999904632568,7.1
tt33038543,nm10403689,4,6.450000047683716,6.4
tt33038839,nm3725828,1,2.5999999046325684,2.6
tt33038885,nm16289331,1,4.199999809265137,4.2
tt33039045,nm9595838,1,5.300000190734863,5.3
tt33039144,nm14908009,1,6.300000190734863,6.3
tt33039198,nm13657314,2,8.150000095367432,6.7
tt33039246,nm5067081,1,5.699999809265137,5.7
tt33039741,nm10749927,1,8.300000190734863,8.3
tt33040259,nm9287120,1,1.7999999523162842,1.8
tt33040269,nm6970324,2,6.700000047683716,6.8
tt33040281,nm2784661,1,6.599999904632568,6.6
tt33040324,nm8496112,5,5.880000019073487,4.7
tt33040405,nm10700369,1,6.300000190734863,6.3
tt33040472,nm5572219,5,5.419999980926514,6.8
tt33040618,nm4815628,1,7.599999904632568,7.6
tt33040771,nm6067981,8,5.412500023841858,5.4
tt33041296,nm0378932,3,7.0,7.6
tt33041522,nm1359981,2,6.75,7.9
tt33041909,nm16382238,1,7.0,7.0
tt33042035,nm8614457,5,7.580000114440918,9.1
tt33042366,nm15756245,1,7.599999904632568,7.6
tt33042441,nm0650601,4,5.150000095367432,4.3
tt33042892,nm13321356,1,8.800000190734863,8.8
tt33042902,nm12561684,2,6.099999904632568,6.2
tt33042923,nm2956436,1,5.300000190734863,5.3
tt33042928,nm8923255,1,5.300000190734863,5.3
tt33043092,nm16390246,1,9.199999809265137,9.2
tt33043111,nm1816428,2,5.900000095367432,6.3
tt33043208,nm4584168,7,5.242857217788696,8.8
tt33043898,nm10114820,1,3.5999999046325684,3.6
tt33044016,nm9667844,2,7.6000001430511475,9.8
tt33044087,nm16385285,1,8.600000381469727,8.6
tt33044512,nm5668926,1,9.199999809265137,9.2
tt33044564,nm15813694,3,7.300000031789144,7.6
tt33044794,nm16399122,1,8.899999618530273,8.9
tt33044838,nm7127455,3,7.366666793823242,7.8
tt33044863,nm10418794,1,7.900000095367432,7.9
tt33044935,nm3791454,4,6.350000023841858,5.6
tt33044997,nm11551754,1,6.900000095367432,6.9
tt33045290,nm10257384,4,7.375,7.6
tt33045566,nm5655692,1,6.099999904632568,6.1
tt33045604,nm3929851,1,6.900000095367432,6.9
tt33045632,nm8263624,9,6.100000010596381,5.4
tt33045887,nm16387523,1,8.199999809265137,8.2
tt33046086,nm1550645,5,4.280000019073486,4.4
tt33046411,nm13364531,1,2.700000047683716,2.7
tt3304692,nm4741249,1,4.900000095367432,4.9
tt33047040,nm16366277,1,8.0,8.0
tt33047057,nm4176405,2,5.5,6.1
tt33047058,nm2544631,7,5.28571435383388,6.3
tt33047059,nm2682682,4,4.699999988079071,6.4
tt33047379,nm0943174,1,7.099999904632568,7.1
tt33047499,nm13901441,1,6.800000190734863,6.8
tt33047906,nm4938888,1,5.699999809265137,5.7
tt33047951,nm3169117,2,4.649999976158142,3.2
tt33048502,nm3029867,7,6.071428571428571,5.7
tt33048545,nm16388990,1,7.800000190734863,7.8
tt33048771,nm0563848,5,4.3000000476837155,5.3
tt33048825,nm11733348,2,5.0,6.0
tt33049264,nm2277169,9,4.377777761883205,3.8
tt33049352,nm10652080,6,7.750000079472859,8.3
tt33049406,nm12558621,1,7.300000190734863,7.3
tt33049498,nm8035584,1,7.800000190734863,7.8
tt33049569,nm14662625,1,3.299999952316284,3.3
tt33050022,nm0004128,1,8.600000381469727,8.6
tt33050183,nm3848341,3,6.199999968210856,7.1
tt33050253,nm16390931,1,6.900000095367432,6.9
tt33050292,nm3207280,21,3.4761904761904763,2.7
tt33050521,nm3373542,1,5.599999904632568,5.6
tt33050528,nm14272226,1,6.300000190734863,6.3
tt33050529,nm16391357,1,7.099999904632568,7.1
